property_id,address,suburb,property_type,sale_price_aud,sale_date,bedrooms,bathrooms,parking_spaces,land_area_m2,building_area_reported_m2,living_area_reported_m2,total_area_reported_m2,other_area_reported_m2,area_notes,property_notes,source_url,collected_date,verification_status,student_checked,quality_flags,analysis_scope,split,property_type_group,sale_month_index,parking_missing,bathrooms_per_bedroom,land_area_clean_m2,log1p_land_area,land_area_missing,living_area_missing,total_area_missing,aircon_mentioned,study_mentioned,outdoor_mentioned,pool_mentioned,pool_nonoperating_mentioned,renovation_mentioned
CHA001,14 Jacques Street,Chatswood,House,3290000,2026-08-29,3,2,2.0,505.0,,,,,Land in sold listing; building area not captured.,Existing residence advertised with redevelopment potential.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-151980664,2026-09-17,detail_page,pending,,standard_sample,development,House,19,0,0.6666666666666666,505.0,6.226536669287466,0,1,1,0,0,0,0,0,0
CHA002,24/35-43 Orchard Road,Chatswood,Apartment,858400,2026-08-26,1,1,1.0,,,,,,No area captured.,"Listing describes lift access, fresh paint and carpet.",https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-152084144,2026-09-17,indexed_detail_page,pending,,standard_sample,development,Apartment,19,0,1.0,,,1,1,1,0,0,0,0,0,1
CHA003,1/9-13 Church Street,Chatswood,Apartment,1016500,2026-08-14,2,1,1.0,,,,113.0,,"113 sqm on title, not internal floor area. Whole-building land excluded.",Ground-floor apartment; updated kitchen and bathroom.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-151903216,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,19,0,0.5,,,1,1,0,0,0,0,0,0,1
CHA004,1205/1 Cambridge Lane,Chatswood,Apartment,1951000,2026-08-11,2,2,1.0,,,,,,No area captured.,Corner apartment; premium finishes described.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-151728592,2026-09-17,detail_page,pending,,standard_sample,heldout,Apartment,19,0,1.0,,,1,1,1,0,0,0,0,0,0
CHA005,1/4 Sutherland Road,Chatswood,Townhouse,1460000,2026-07-16,3,2,1.0,,,,,,No area captured.,Small complex; private backyard described.,https://www.realestate.com.au/sold/property-townhouse-nsw-chatswood-151338640,2026-09-17,detail_page,pending,,standard_sample,development,Townhouse,18,0,0.6666666666666666,,,1,1,1,0,0,1,0,0,0
CHA006,15/2 Parkside Lane,Chatswood,Apartment,1251000,2025-08-02,2,1,1.0,,131.0,,,,Source building size; internal-only scope unspecified.,Full brick; freshly painted; balcony; lift; advertised 450 m to station.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148490288,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,7,0,0.5,,,1,1,1,0,0,1,0,0,1
CHA007,3/16-22 Devonshire Street,Chatswood,Apartment,1140000,2025-07-31,2,1,1.0,,,,,,No area transcribed.,Elevated ground floor; renovated kitchen; northwest balcony.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148091480,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,6,0,0.5,,,1,1,1,0,0,1,0,0,1
CHA008,3/7 Freeman Road,Chatswood,Apartment,1180000,2025-07-23,2,2,1.0,,167.0,,167.0,,Land-labelled 167 is title area; not individual land.,Large terrace; air conditioning.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148033772,2026-09-17,detail_page,pending,area_definition,standard_sample,heldout,Apartment,6,0,1.0,,,1,1,0,1,0,1,0,0,0
CHA009,8/27-29 Church Street,Chatswood,Unit,1100000,2025-07-23,2,1,2.0,,,,,,No area transcribed.,Top floor in ten-unit complex; new carpet and paint; balcony.,https://www.realestate.com.au/sold/property-unit-nsw-chatswood-148364212,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,6,0,0.5,,,1,1,1,0,0,1,0,0,1
CHA010,1/1 Goodchap Road,Chatswood,Apartment,1020000,2025-07-21,2,2,1.0,,,,,,No area transcribed.,Ground-floor northwest corner; park views; balcony; gas kitchen.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-147238076,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,6,0,1.0,,,1,1,1,0,0,1,0,0,0
CHA011,28/755-759 Pacific Highway,Chatswood,Apartment,1098000,2025-07-12,2,2,1.0,,,,,,No area transcribed.,Ducted air conditioning; balcony; stone kitchen.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148087936,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,6,0,1.0,,,1,1,1,1,0,1,0,0,0
CHA012,4/11 Whitton Road,Chatswood,Apartment,1520000,2025-07-08,3,2,2.0,,178.0,,,,Building size scope unclear; may include outdoor areas.,Ground floor; garden and courtyard; advertised 700 m to station.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148094696,2026-09-17,detail_page,pending,area_definition,standard_sample,development,Apartment,6,0,0.6666666666666666,,,1,1,1,0,0,1,0,0,0
CHA013,28A Greville Street,Chatswood,House,3200000,2025-06-28,3,2,2.0,1014.0,,,,,Individual land area explicitly reported.,Built in 2022; 7.7 kW solar; double glazing.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148312584,2026-09-17,detail_page,pending,,standard_sample,development,House,5,0,0.6666666666666666,1014.0,6.922643891475888,0,1,1,0,0,0,0,0,0
CHA014,304/31 Bertram Street,Chatswood,Apartment,1600000,2025-06-27,3,2,1.0,,121.0,,140.0,,Land-labelled 140 is title area; building size 121 separately reported.,Third floor; lift and balcony.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-147300500,2026-09-17,detail_page,pending,area_definition,standard_sample,development,Apartment,5,0,0.6666666666666666,,,1,1,0,0,0,1,0,0,0
CHA015,8/1 Katherine Street,Chatswood,Apartment,840000,2025-06-18,1,1,1.0,,,,,100.0,100 appears as land/layout/balcony in conflicting text; unclassified.,Air conditioning; communal pool and gym; lift; fresh paint.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148123404,2026-09-17,detail_page,pending,area_conflict,standard_sample,development,Apartment,5,0,1.0,,,1,1,1,1,0,0,1,0,1
CHA016,38A Victoria Avenue,Chatswood,House,2050000,2025-06-17,3,1,,392.0,,,,,Individual land area explicitly reported.,Description calls home semi-detached and mentions 1.5 bathrooms; header retained. Ducted air conditioning; extension; garden; study.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-147981040,2026-09-17,detail_page,pending,type_conflict;bathroom_definition,standard_sample,development,House,5,1,0.3333333333333333,392.0,5.973809611869261,0,1,1,1,1,1,0,0,0
CHA017,6/197 Victoria Avenue,Chatswood,Unit,1050000,2025-06-16,3,1,,,93.0,,,,Source building size; internal-only scope unspecified.,Second floor; full brick; external laundry.,https://www.realestate.com.au/sold/property-unit-nsw-chatswood-147451656,2026-09-17,detail_page,pending,,standard_sample,development,Apartment,5,1,0.3333333333333333,,,1,1,1,0,0,0,0,0,0
CHA018,54 Stanley Street,Chatswood,House,6250000,2025-06-13,5,5,2.0,,,,,,No area transcribed.,Built in 2018; ensuite bedrooms; ducted air conditioning; media room and office.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148140156,2026-09-17,detail_page,pending,,standard_sample,development,House,5,0,1.0,,,1,1,1,1,1,0,0,0,0
