property_id,address,suburb,sale_price_aud,ML estimate,LLM estimate,Student estimate,ML estimate absolute error,LLM estimate absolute error,Student estimate absolute error
CHA004,1205/1 Cambridge Lane,Chatswood,1951000,1207046.17390121,1550000,1600000,743953.8260987899,401000,351000
CHA008,3/7 Freeman Road,Chatswood,1180000,1266095.3508297256,1250000,1350000,86095.35082972562,70000,170000
CHA028,102 Millwood Avenue,Chatswood,2088000,4570239.91919192,3600000,3400000,2482239.91919192,1512000,1312000
CHA032,40 Beaconsfield Road,Chatswood,3650000,4646986.890620493,3700000,3800000,996986.8906204933,50000,150000
PAR007,44/23 Good Street,Parramatta,745000,729722.7484272085,750000,720000,15277.251572791487,5000,25000
PAR018,6813/1A Morton Street,Parramatta,650000,659627.8187958377,680000,700000,9627.818795837695,30000,50000
PAR019,1106/12 Phillip Street,Parramatta,790000,661841.4189455258,780000,820000,128158.58105447423,10000,30000
PEN012,38 Brown Street,Penrith,1025000,1047548.6018552196,900000,850000,22548.601855219575,125000,175000
PEN013,28 Rawson Avenue,Penrith,1215000,1233135.8190920188,1120000,1050000,18135.819092018763,95000,165000
PEN019,25/132 Lethbridge Street,Penrith,460000,532628.628697396,520000,550000,72628.62869739602,60000,90000
