property_id,address,suburb,property_type,sale_price_aud,bedrooms,land_area_m2,global_iqr_flag,within_suburb_iqr_flag,property_notes,source_url
CHA001,14 Jacques Street,Chatswood,House,3290000,3,505.0,True,False,Existing residence advertised with redevelopment potential.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-151980664
CHA013,28A Greville Street,Chatswood,House,3200000,3,1014.0,True,False,Built in 2022; 7.7 kW solar; double glazing.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148312584
CHA018,54 Stanley Street,Chatswood,House,6250000,5,,True,False,Built in 2018; ensuite bedrooms; ducted air conditioning; media room and office.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148140156
CHA019,25 Dalrymple Avenue,Chatswood,House,3800000,4,701.9,True,False,Pool; self-contained lower level.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148090276
CHA026,9 Archer Street,Chatswood,House,5960000,4,923.2,True,False,Circa 1890 double-brick home; extension; pool; air conditioning; flexible office/fifth bedroom.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-149276444
CHA027,14 River Avenue,Chatswood,House,2200000,4,591.0,True,False,Updated home; bushland setting; air conditioning; solar hot water.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-149200256
CHA029,2 Blakesley Street,Chatswood,House,5100000,5,556.0,True,False,Four-bedroom main home plus one-bedroom granny flat.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148849740
CHA030,15G Colwell Crescent,Chatswood,House,3000000,4,824.0,True,False,Pool; air conditioning; lower level with separate access.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-149146312
CHA031,3 Holland Street,Chatswood,House,5950000,5,1018.0,True,False,Ducted air conditioning; study; multiple living areas.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148914992
CHA033,2 McLean Avenue,Chatswood,House,3600000,3,765.1,True,False,Air conditioning; study; cellar.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148880716
CHA034,39 Clanwilliam Street,Chatswood,House,5000000,3,625.0,True,False,Circa 1920 bungalow; redevelopment potential claimed. Description parking differs from header.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148810316
CHA035,18 Park Avenue,Chatswood,House,3860000,3,638.6,True,False,Original kitchen and bathroom; north aspect; redevelopment potential; advertised 950 m to station.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148935896
PAR005,16/43 Pemberton Street,Parramatta,Townhouse,1225000,3,,False,True,Registered age listed as 1997; two-level double-brick townhouse; one common wall; air conditioning; courtyard.,https://www.realestate.com.au/sold/property-townhouse-nsw-parramatta-149242576
PAR021,3/4-6 Broughton Street,Parramatta,Townhouse,1250000,3,,False,True,Six-home complex; courtyard; air conditioning.,https://www.realestate.com.au/sold/property-townhouse-nsw-parramatta-149138200
PAR034,11 Pemberton Street,Parramatta,House,1610000,3,461.6,False,True,Renovated bathroom; new ducted air conditioning; covered entertaining area; redevelopment potential claimed.,https://www.realestate.com.au/sold/property-house-nsw-parramatta-150740908
PAR035,51 Gore Street,Parramatta,House,1480000,3,461.6,False,True,Fresh paint and carpet; updated kitchen; sunroom; study or third bedroom; covered entertaining area.,https://www.realestate.com.au/sold/property-house-nsw-parramatta-150946060
