property_id,address,quality_flags,area_notes,property_notes,source_url
CHA012,4/11 Whitton Road,area_definition,Building size scope unclear; may include outdoor areas.,Ground floor; garden and courtyard; advertised 700 m to station.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148094696
CHA014,304/31 Bertram Street,area_definition,Land-labelled 140 is title area; building size 121 separately reported.,Third floor; lift and balcony.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-147300500
CHA015,8/1 Katherine Street,area_conflict,100 appears as land/layout/balcony in conflicting text; unclassified.,Air conditioning; communal pool and gym; lift; fresh paint.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-148123404
CHA016,38A Victoria Avenue,type_conflict;bathroom_definition,Individual land area explicitly reported.,Description calls home semi-detached and mentions 1.5 bathrooms; header retained. Ducted air conditioning; extension; garden; study.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-147981040
CHA019,25 Dalrymple Avenue,multi_living_layout,Individual land area explicitly reported.,Pool; self-contained lower level.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148090276
CHA025,101/1 Katherine Street,area_definition,Total 96 includes 18 garage; living area 78 as described.,Level 11; air conditioning; communal pool and gym; advertised 150 m to station.,https://www.realestate.com.au/sold/property-apartment-nsw-chatswood-147163012
CHA026,9 Archer Street,flexible_bedroom,Individual land area explicitly reported.,Circa 1890 double-brick home; extension; pool; air conditioning; flexible office/fifth bedroom.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-149276444
CHA029,2 Blakesley Street,area_rounding;multi_dwelling,Header land 556; description 556.4.,Four-bedroom main home plus one-bedroom granny flat.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148849740
CHA030,15G Colwell Crescent,multi_living_layout,Individual land area explicitly reported.,Pool; air conditioning; lower level with separate access.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-149146312
CHA034,39 Clanwilliam Street,parking_conflict,Individual land area explicitly reported.,Circa 1920 bungalow; redevelopment potential claimed. Description parking differs from header.,https://www.realestate.com.au/sold/property-house-nsw-chatswood-148810316
PAR002,2/1-7 Bobart Street,area_definition,251 labelled building size but description calls it total area. Do not treat as internal area.,Original kitchen/bathroom; courtyard; extra toilet is not an extra bathroom.,https://www.realestate.com.au/sold/property-townhouse-nsw-parramatta-151891468
PAR010,2116/1A Morton Street,area_definition,Building label corresponds to total title area.,Courtyard; study; communal gym.,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-149044032
PAR013,4206/330 Church Street,area_definition,Land-labelled 106 for apartment; unit area scope unconfirmed.,Level 42; west-facing city views; air conditioning; study; communal pool and gym.,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-148575184
PAR016,4/5-7 Grose Street,area_definition,Land-labelled 81 is title area.,Study; balcony; advertised 250 m to light rail.,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-149176232
PAR020,304/25 Campbell Street,area_definition,Total 117; internal 91; balcony 11 separately described.,Air conditioning; study; lift; fresh paint.,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-148644356
PAR023,17/9-13 Early Street,area_definition,Building/title 193; living 157; internal-only scope not assumed.,Two levels; study.,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-149026788
PAR025,3/23 Good Street,area_conflict,Building 104 conflicts with described total 97; retained separately.,Second floor.,https://www.realestate.com.au/sold/property-unit-nsw-parramatta-151176568
PAR026,401/6 River Road West,area_definition,Land-labelled 108 for apartment; scope unconfirmed.,Ducted air conditioning; river-facing balcony.,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151624544
PAR030,907/6-10 Charles Street,area_definition,Building size scope unclear; terrace separately advertised as 80 sqm.,Large terrace.,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-151973256
PAR032,1417/32 Hunter Street,address_alias,Source building size; internal-only scope unspecified.,Also advertised as 1417/45 Macquarie Street; level 14; study; balcony.,https://www.realestate.com.au/sold/property-apartment-nsw-parramatta-149992300
PAR035,51 Gore Street,flexible_bedroom,Individual land area explicitly reported.,Fresh paint and carpet; updated kitchen; sunroom; study or third bedroom; covered entertaining area.,https://www.realestate.com.au/sold/property-house-nsw-parramatta-150946060
PEN001,16 Bel-air Road,suspect_building_area,Suspect building size 956.9 retained verbatim; verify before modelling.,Renovation opportunity; parking is two garage plus two open spaces.,https://www.realestate.com.au/sold/property-house-nsw-penrith-151704284
PEN011,75 Empire Circuit,parking_definition,No area transcribed.,Study; air conditioning; backyard; description mentions additional parking beyond header.,https://www.realestate.com.au/sold/property-house-nsw-penrith-151332000
PEN014,14 Arakoon Avenue,nonoperating_pool,Individual land area explicitly reported.,Pool explicitly not operating; sunroom.,https://www.realestate.com.au/sold/property-house-nsw-penrith-151139552
PEN018,43 Robert Street,area_rounding,Header 733; description 733.5.,R3 zoning and granny-flat potential claimed by agent.,https://www.realestate.com.au/sold/property-house-nsw-penrith-150627696
PEN024,6/132 Coreen Avenue,area_definition,Land-labelled 191 for strata townhouse; individual lot scope unresolved.,Air conditioning; backyard.,https://www.realestate.com.au/sold/property-townhouse-nsw-penrith-151761636
PEN033,408/10B Premiership Avenue,area_definition,Land-labelled 96 for apartment; scope unconfirmed.,Top floor; large study; communal pool and gym.,https://www.realestate.com.au/sold/property-apartment-nsw-penrith-151305192
